Golf | Star,Small,Cold,Blue,Fast
Violin | violin,Shark,Cold,Sun,Bear
Happy Flower | happy,flower,Flower,Moon,Big
Rollercoaster | rollercoaster,Hot,Cold,Cat,Whale
Chef | chef,Cloud,Shark,Sun,Sad
Slow Fish | Scary,Cloud,Shark,slow,Moon
Slow Bear | Shark,slow,Cat,Slow,Whale
Book | Cloud,Lion,Sad,Whale,book
Engineer | engineer,Blue,Moon,Slow,Angry
Blue Whale | blue,Horse,Flower,Angry,Whale
Red Shark | Hot,Shark,Red,red,Green
Clown | Tree,Cute,Sad,Flower,clown
Big Horse | big,horse,Red,Flower,Fast
Cute Cloud | Cute,Lion,Red,Flower,cloud
Yoga | Star,Horse,Shark,Bear,yoga
Scary Horse | Cute,Fish,horse,Blue,scary
Scary Cat | Cloud,Horse,Red,Flower,cat
Sad Dog | Cloud,Horse,sad,Red,Sad
Blue Moon | blue,Sun,Sad,Flower,moon
Knight | Tree,Lion,knight,Moon,Slow
Pirate | pirate,Bear,Cat,Sad,Whale
Scary Cat | Star,Happy,Shark,Cold,cat
Cute Moon | Hot,Bear,Flower,Moon,moon
Blue Fish | blue,Hot,Lion,Green,Whale
Funny Moon | Cute,Cloud,Hot,Green,moon
Red Shark | Small,Bear,Sun,red,Green
Angry Tree | Tree,Small,Shark,Cat,angry
Blue Sun | Tree,blue,Hot,sun,Cat
Angry Bear | Tree,Lion,Small,Shark,Bear
Penguin | Bear,Cat,Blue,Slow,penguin
Hockey | Cute,Horse,Happy,hockey,Cat
Soldier | Tree,soldier,Small,Flower,Whale
Happy Whale | happy,Star,Cloud,Hot,Cold
Blue Bird | bird,blue,Lion,Small,Bear
Green Star | Cute,Hot,green,Blue,Green
Happy Bird | happy,bird,Fish,Bear,Sad
Hot Tree | Cute,hot,Lion,Small,Sun
Small Shark | Tree,Hot,Small,Red,Moon
Big Cat | Star,big,Cold,Green,cat
Slow Moon | Horse,Hot,Bear,slow,Sad
Pirate | Star,pirate,Cold,Shark,Sad
Fast Fish | Cloud,Lion,Bear,Bird,fast
Hot Whale | Cute,hot,Cloud,Shark,Sad
Big Bird | Cute,bird,big,Happy,Sun
Cute Flower | Scary,Cloud,Small,flower,Moon
Driver | Tree,Star,Green,Whale,Funny
Swimming | Shark,Cat,Flower,swimming,Dog
Scary Whale | Hot,Lion,Red,Green,Moon
Cute Cloud | Star,Happy,Lion,Cold,cloud
Fast Star | Small,Cold,Blue,Flower,star
Slow Fish | Fish,Small,Shark,slow,fish
Happy Dog | happy,Horse,Happy,Cold,dog
Pilot | pilot,Cute,Hot,Blue,Fast
Scary Moon | Horse,Hot,Small,Flower,moon
Red Bear | Cute,Cold,Red,Sad,red
Happy Star | happy,Tree,Hot,Green,star
Airport | Scary,Sun,Red,Whale,Fast
Restaurant | restaurant,Hot,Cold,Sad,Moon
Hot Fish | hot,Happy,Lion,Cold,Bear
Scary Flower | Hot,flower,Angry,scary,Big
Happy Whale | happy,Cute,Cloud,Bear,Sad
Red Lion | Star,Lion,Shark,Sad,red
Cold Tree | Moon,Slow,tree,cold,Fast
Blue Star | Star,blue,Cold,Sun,Flower
Sad Bear | Hot,sad,Flower,Moon,bear
Scary Tree | Big,Hot,Cold,Bear,scary
Small Tree | Happy,Lion,Shark,tree,Cat
Highway | Tree,highway,Lion,Shark,Sad
Big Tree | big,Small,Cold,Shark,Sun
Painter | Horse,Hot,Cat,painter,Fast
Rainbow | Hot,Bird,rainbow,Whale,Angry
Big Bird | Cute,bird,Cloud,Horse,big
Slow Tree | Cute,Big,Horse,Bear,Sun
Angry Sun | Fish,sun,Blue,Sad,Moon
Slow Flower | flower,slow,Sad,Green,Moon
Train | Tree,Cold,train,Moon,Funny
Sad Shark | Cloud,Horse,sad,Lion,Shark
Football | Tree,football,Hot,Fish,Big
Scientist | Cute,scientist,Small,Shark,Bear
Princess | Cute,Red,Green,princess,Whale
Small Bird | bird,Shark,Blue,Moon,small
Sad Tree | Big,Hot,sad,Lion,Cat
Happy Flower | happy,Horse,flower,Slow,Whale
Slow Bear | Tree,Cute,Fish,Bear,slow
Island | Hot,Flower,Slow,Whale,Big
Cute Shark | Happy,Cold,Blue,Flower,Moon
Scary Whale | Small,Sad,Green,whale,scary
Planet | Cute,Shark,Sun,Sad,Slow
Green Moon | Cloud,Fish,Hot,Small,green
Princess | Blue,princess,Angry,Dog,Funny
Happy Sun | happy,Cloud,sun,Cold,Moon
Cute Cat | Cute,Fish,Hot,cat,Slow
Fast Shark | Tree,Lion,Cold,Sun,Slow
Fast Star | Cloud,Lion,Sun,star,Moon
Cold Star | Horse,Red,Cat,Sad,star
Red Whale | Horse,Happy,Red,red,Angry
Blue Star | blue,Horse,Fish,Hot,star
Karate | Cloud,Fish,Cold,Sad,Blue
Road | road,Bear,Moon,Angry,Funny
Fast Flower | Fish,flower,Bear,Blue,Green
Angry Horse | Star,horse,Small,Cat,Green
Scary Horse | horse,Shark,Cold,scary,Big
Bottle | Fish,Moon,Slow,bottle,Big
Angry Star | Horse,Fish,Hot,Bear,Green
Big Star | big,Lion,Sun,Blue,star
Baseball | baseball,Shark,Bear,Sad,Whale
Happy Bird | happy,bird,Fish,Bird,Cat
Astronaut | Hot,astronaut,Shark,Green,Slow
Violin | Cute,Cloud,Happy,violin,Lion
Cute Shark | Cloud,Horse,Flower,Angry,Whale
Doctor | Hot,Cold,Bear,Sad,Angry
Happy Shark | happy,Lion,Small,Shark,shark
Happy Cloud | happy,Shark,Bear,Slow,cloud
Funny Bear | Cloud,Bear,Red,Blue,Angry
Scary Bear | Bear,Red,Green,Moon,Slow
Blue Whale | Cloud,blue,Small,Shark,Bear
Small Cloud | Horse,Fish,Sad,Flower,small
Sad Fish | Cute,Star,sad,Flower,Angry
Soccer | Star,Horse,soccer,Green,Moon
Volcano | Cute,Cold,Blue,volcano,Fast
Artist | Tree,Cloud,Shark,Bear,artist
Blue Dog | blue,Cold,Sun,Green,dog
Fast Sun | Cute,Hot,Fish,sun,Moon
Cute Bear | Cloud,Bear,Green,Flower,Dog
Big Horse | Cloud,big,Hot,horse,Cat
Slow Horse | Hot,horse,Lion,Small,slow
Scary Star | Bear,star,Slow,Angry,scary
Funny Shark | Cute,Horse,Lion,Cold,shark
Red Bird | Tree,bird,Lion,Small,red
Sad Dog | Horse,sad,Green,dog,Flower
Angry Cloud | Cloud,Lion,Red,Cat,cloud
Red Cat | Shark,Sun,Red,Blue,red
Scary Fish | Tree,Star,Blue,Green,Angry
Funny Cat | Fish,Blue,Flower,cat,funny
Cold Flower | Lion,flower,Bear,Sun,Blue
Slow Horse | Fish,horse,slow,Blue,Sad
Ocean | ocean,Cute,Cloud,Small,Shark
Small Cat | Cloud,Small,cat,small,Whale
Angry Fish | Star,Bear,Cat,Moon,angry
Angry Fish | Flower,Moon,Whale,angry,fish
Small Shark | Cloud,Lion,Sun,Flower,small
Green Star | Cold,Bear,green,Cat,Green
Fast Bear | Cute,Star,Cold,Red,Green
Green Cloud | Tree,Cute,green,Angry,cloud
Red Tree | Small,Sun,red,Whale,tree
Happy Bird | happy,bird,Hot,Red,Cat
Big Flower | Cloud,big,flower,Bear,Blue
Slow Bird | Cute,bird,Hot,Shark,Red
Happy Tree | happy,Horse,Fish,Sun,Cat
Small Moon | Cute,Horse,Moon,moon,small
Storm | storm,Tree,Cute,Cloud,Sun
Baker | Fish,Blue,Green,baker,Big
Hot Bird | bird,hot,Fish,Bear,Red
Big Bird | bird,big,Happy,Blue,Slow
Cold Lion | Cat,lion,Slow,Angry,Whale
Golf | Star,Fish,Bear,Cat,Whale
Table | Cute,Horse,Cat,table,Fast
Highway | highway,Horse,Lion,Bear,Whale
Angry Moon | Cloud,Horse,Shark,Red,Green
Sad Shark | Hot,sad,Bear,Green,Slow
Hot Cat | Star,hot,Hot,Bear,Sad
Volcano | Lion,Cold,Bird,Slow,volcano
Movie | movie,Cloud,Green,Moon,Slow
Island | Star,Cold,Red,Blue,Angry
Slow Bear | Cute,Star,Cloud,Bear,slow
Angry Fish | Tree,Cloud,Hot,Cold,angry
Diving | Cute,diving,Sun,Moon,Fast
Golf | Happy,Hot,Bird,Green,Slow
Cold Tree | Tree,Happy,Cat,tree,cold
Football | football,Hot,Lion,Flower,Slow
Robot | robot,Shark,Cold,Blue,Fast
Cold Star | Lion,Small,Cold,Flower,star
Blue Star | Star,blue,Sad,Green,Blue
Scary Sun | sun,Lion,Flower,Slow,scary
Cold Bird | Cute,bird,Cloud,Cold,Green
Happy Lion | happy,Tree,Hot,Shark,Blue
Green Dog | Cute,Cloud,Happy,Cold,Shark
