Kalt Wal | Blau,Blume,kalt,Fröhlich,Pferd
Klein Stern | Blau,klein,Stern,stern,Fisch
Wütend Fisch | wütend,Hai,fisch,Gruselig,Katze
Süß Pferd | Blume,Blau,pferd,Vogel,süß
Gruselig Katze | Löwe,Wal,gruselig,Baum,Rot
Hubschrauber | Traurig,Baum,hubschrauber,Hai,Kalt
Tiger | Mond,Klein,Hai,Lustig,tiger
Klein Stern | klein,Traurig,stern,Rot,Fröhlich
Hubschrauber | Vogel,Baum,hubschrauber,Kalt,Pferd
Rot Wolke | Schnell,Stern,wolke,Langsam,rot
Traurig Katze | traurig,Vogel,Hai,katze,Langsam
Fröhlich Wolke | Wal,Mond,wolke,Rot,fröhlich
Grün Löwe | Blume,Vogel,löwe,Schnell,Stern
Klein Blume | Wal,Klein,klein,Hai,blume
Raumschiff | Traurig,Bär,Schnell,Stern,raumschiff
Auto | Blau,Grün,Bär,auto,Hund
Kirche | Wal,Mond,Stern,Hai,kirche
Fröhlich Blume | Blau,Klein,Stern,fröhlich,blume
Golf | Klein,Mond,Bär,Rot,Langsam
Groß Katze | Traurig,Hai,groß,katze,Süß
Wütend Wal | Klein,Traurig,Bär,wütend,Gruselig
Pirat | Blau,Grün,Hai,Gruselig,Kalt
Traurig Pferd | traurig,Löwe,Bär,Fisch,Heiß
Zug | Blau,Vogel,Schnell,zug,Kalt
Klein Mond | klein,Traurig,Bär,Stern,mond
Insel | Bär,insel,Hai,Fröhlich,Hund
Prinzessin | Mond,Traurig,Stern,Rot,prinzessin
Süß Wolke | Wütend,Klein,Bär,wolke,süß
Motorrad | Wal,Klein,Bär,Fröhlich,motorrad
Wissenschaftler | wissenschaftler,Bär,Baum,Hai,Gruselig
Schwimmen | schwimmen,Hai,Fisch,Wolke,Katze
Fahrer | Grün,Bär,fahrer,Katze,Lustig
Rot Pferd | Traurig,Bär,Hai,Fisch,rot
Fröhlich Wolke | Wal,Bär,wolke,Rot,fröhlich
Bibliothek | bibliothek,Gruselig,Fröhlich,Süß,Groß
Klein Stern | Blume,klein,Traurig,Schnell,stern
Krankenhaus | Wal,Grün,Bär,krankenhaus,Fröhlich
Langsam Hund | Traurig,Baum,langsam,hund,Katze
Grün Stern | Stern,stern,Wolke,Fröhlich,grün
Wütend Stern | Löwe,Vogel,Schnell,wütend,stern
Süß Hund | Blume,süß,hund,Gruselig,Kalt
Pinguin | pinguin,Traurig,Schnell,Baum,Fröhlich
Musik | Löwe,Traurig,Klein,Hai,Fisch
Heiß Hai | heiß,Traurig,Stern,Kalt,hai
Rot Mond | Hai,Rot,mond,Wolke,Lustig
Klein Löwe | Mond,klein,löwe,Rot,Kalt
König | Löwe,Blume,Grün,Hai,Katze
Schnell Wolke | Grün,Bär,Schnell,wolke,Fisch
Lustig Fisch | Blume,Rot,Fisch,fisch,Gruselig
Schloss | Blume,Schnell,Fröhlich,schloss,Pferd
Schnell Vogel | Löwe,Vogel,vogel,Baum,Stern
Schokolade | schokolade,Baum,Schnell,Rot,Groß
Königin | Wal,Stern,Fisch,königin,Katze
Klein Blume | Wal,Blume,klein,Baum,Rot
Pilot | Blume,Grün,Katze,Langsam,Wütend
Wütend Löwe | löwe,Baum,wütend,Kalt,Fröhlich
Heiß Bär | Blau,heiß,Traurig,Klein,Bär
Fröhlich Bär | Wal,Blau,Blume,Schnell,Rot
Schnell Sonne | Mond,Bär,Rot,schnell,Wolke
Langsam Hai | Blume,Mond,langsam,hai,Süß
Langsam Vogel | Grün,Schnell,vogel,langsam,Hai
Rot Pferd | Schnell,Hai,Gruselig,rot,Süß
Hockey | Löwe,Blau,Klein,Traurig,Schnell
Laden | Blume,Mond,laden,Gruselig,Pferd
Dinosaurier | dinosaurier,Klein,Schnell,Fisch,Groß
Bauer | Löwe,Traurig,Rot,bauer,Fröhlich
Dinosaurier | Blau,dinosaurier,Schnell,Stern,Gruselig
Ritter | Löwe,Klein,Vogel,ritter,Langsam
Fröhlich Fisch | Löwe,Grün,fröhlich,fisch,Gruselig
Süß Blume | Löwe,Blau,Traurig,süß,Gruselig
Blau Katze | blau,Grün,Baum,Gruselig,Fröhlich
Fröhlich Hai | hai,Baum,fröhlich,Kalt,Lustig
Blau Bär | blau,Vogel,Baum,Hai,Gruselig
Wütend Bär | Blume,wütend,bär,Katze,Hund
Rot Hai | Wal,Traurig,Bär,hai,rot
Klein Pferd | klein,Bär,Stern,Kalt,Heiß
Groß Stern | Schnell,Stern,Hai,stern,groß
Boxen | Schnell,Bär,Rot,boxen,Kalt
Wütend Wal | Löwe,Blau,wütend,Hai,Fisch
Heiß Stern | Blau,heiß,Klein,Hai,stern
